City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.4072,3.73,56,75,4.12,US,1715202648
1,port-aux-francais,-49.35,70.2167,4.52,77,93,10.02,TF,1715202645
2,kulhudhuffushi,6.6221,73.07,29.91,73,90,4.59,MV,1715202706
3,maymana,35.9214,64.7836,24.37,42,15,1.34,AF,1715202751
4,kingston,17.997,-76.7936,29.53,74,75,2.06,JM,1715201948
5,nisporeni,47.0814,28.1783,12.44,56,100,1.7,MD,1715202751
6,college,64.8569,-147.8028,12.82,52,75,3.6,US,1715202679
7,kupang,-10.1667,123.5833,24.32,100,5,1.03,ID,1715202752
8,badger,64.8,-147.5333,12.77,49,75,3.6,US,1715202753
9,asekeyevo,53.5742,52.7972,2.3,84,18,3.52,RU,1715202753
10,adamstown,-25.066,-130.1015,21.93,78,100,2.58,PN,1715202754
11,st. john's,47.5649,-52.7093,6.55,93,100,6.17,CA,1715202754
12,puerto natales,-51.7236,-72.4875,0.25,100,100,2.06,CL,1715202651
13,edinburgh of the seven seas,-37.0676,-12.3116,14.77,65,78,11.69,SH,1715202648
14,kirakira,-10.4544,161.9205,27.31,78,100,4.26,SB,1715202756
15,langepas,61.2544,75.2124,0.12,90,99,3.5,RU,1715202756
16,riberalta,-10.9833,-66.1,32.07,57,12,1.44,BO,1715202757
17,grytviken,-54.2811,-36.5092,-2.99,72,7,3.75,GS,1715202757
18,udachny,66.4167,112.4,-6.97,89,31,3.19,RU,1715202758
19,arteche,12.2645,125.4048,25.61,88,99,1.53,PH,1715202758
20,margaret river,-33.95,115.0667,17.31,47,100,6.32,AU,1715202679
21,susuman,62.7833,148.1667,-1.12,83,89,1.34,RU,1715202689
22,teguise,29.0605,-13.564,20.12,60,20,6.17,ES,1715202729
23,isangel,-19.55,169.2667,23.07,62,78,6.7,VU,1715202727
24,arawa,-6.2132,155.5367,26.81,89,96,0.95,PG,1715202760
25,machico,32.7,-16.7667,19.35,82,20,1.54,PT,1715202761
26,puerto ayora,-0.7393,-90.3518,30.98,93,100,1.34,EC,1715202761
27,banda aceh,5.5577,95.3222,27.23,81,95,1.95,ID,1715202762
28,yellowknife,62.456,-114.3525,16.34,43,0,2.68,CA,1715202762
29,san patricio,28.017,-97.5169,33.05,57,100,6.12,US,1715202762
30,punta arenas,-53.15,-70.9167,3.06,93,100,3.09,CL,1715202763
31,inderbor,48.55,51.7833,9.69,68,87,7.97,KZ,1715202763
32,port mathurin,-19.6833,63.4167,25.14,69,97,11.61,MU,1715202665
